id,title,answer
0,"What is faster, Regex or if compares - Java",['java.lang.String.equals']
1,Get min and max String of list,"['java.util.Collections.max', 'java.util.stream.Collectors.minBy', 'java.util.Optional.get', 'java.util.stream.Collectors.maxBy', 'java.util.Collections.min']"
2,Java string split with multiple delimeters,['java.lang.String.split']
3,Finding memory leak By JProfiler,['java.util.HashMap.put']
4,How can I start a thread from another and restart a thread after execution?,"['java.lang.Thread.join', 'java.util.concurrent.Future.get']"
5,Explaining hashcode to Vector,"['java.util.List.hashCode', 'java.lang.Object.hashCode', 'java.util.Arrays.asList']"
6,Collision detection Graphics 2D,['java.awt.Rectangle.intersects']
7,perform task at a user defined time,['javax.swing.SpinnerDateModel.constructor']
8,Copy int array to array,['java.util.Arrays.copyOf']
9,"How to store int from file, to Arraylist using StringTokenizer in java?",['java.lang.String.split']
10,JFrame will not repaint until after try/catch completes,['javax.swing.JComponent.repaint']
11,From for loop to Java 8 Stream example,"['java.util.stream.Stream.findAny', 'java.util.Optional.orElse', 'java.util.Collection.stream', 'java.util.stream.Stream.findFirst', 'java.util.stream.Stream.filter', 'java.util.Collection.parallelStream']"
12,Read/convert an InputStream to a String,"['java.io.InputStream.transferTo', 'java.io.ByteArrayOutputStream.toString']"
13,Convert millisecond String to Date in Java,"['java.lang.Long.parseLong', 'java.time.Instant.ofEpochMilli', 'java.time.ZonedDateTime.toString']"
14,Java - Sorting Array by time,['java.util.Arrays.sort']
15,How to change menu title color on mouse over (in java Swing)?,['javax.swing.UIManager.put']
16,TreeMap sort by value,['java.util.Map.entrySet']
17,How to check if a string contains all the letters of the alphabet?,"['java.lang.String.split', 'java.util.List.remove', 'java.util.Arrays.asList']"
18,Generics trouble implementing Map.entrySet(),['java.util.Map.entrySet']
19,How can I Listen for Keyboard input without Text Field Java,"['javax.swing.text.Document.addDocumentListener', 'javax.swing.JTextField.addActionListener']"
20,Difference between @ and # in Java toString output?,['java.lang.Object.equals']
21,Returning the value that for statement prints,['java.lang.Integer.parseInt']
22,"Weird exception ""Invalid receiver type class java.lang.Object; not a subtype of ...""",['java.util.stream.Stream.of']
23,How to read a line in BufferedInputStream?,"['java.io.BufferedReader.readLine', 'org.omg.CORBA.portable.InputStream.read']"
24,Difference between CopyOnWriteArrayList and synchronizedList,"['java.util.Collections.synchronizedList', 'java.util.Collections.synchronizedMap']"
25,Can someone explain how to setText from a static using my example?,"['javax.swing.SwingUtilities.invokeAndWait', 'javax.swing.SwingUtilities.invokeLater']"
26,How do I find out which JAXP implementation is in use and where it was loaded from?,"['javax.xml.parsers.DocumentBuilderFactory.newInstance', 'java.lang.System.setProperty']"
27,Dateformat is not return true time - Java,"['java.text.DateFormat.setTimeZone', 'java.util.TimeZone.setDefault']"
28,"Does a lock on class, locks class variables too? - java",['java.util.Collections.synchronizedList']
29,how can i extract using regex in java,['java.lang.String.split']
30,PriorityQueue is Java does not order descending with custom comparator,['java.util.Collections.sort']
31,Using Swing Worker To Load Images,['java.awt.Toolkit.createImage']
32,"Get the week of year, with sunday as the first day of the week using java calendar","['java.util.Calendar.setMinimalDaysInFirstWeek', 'java.util.Calendar.getInstance']"
33,WHats wrong with this code for palindrome of a string array,['java.lang.String.equals']
34,Proper way to start new thread from service layer using spring,['java.util.concurrent.Executors.newSingleThreadExecutor']
35,Outline to blocks in XY Block renderer jfreechart,['java.awt.Color.getHSBColor']
36,Date() is showing error regarding mismatched parameters,"['java.time.LocalDate.now', 'java.time.format.DateTimeFormatter.is', 'java.time.LocalDate.format']"
37,Is it good practice for a class to implement itself in a generic interface?,['java.util.Collections.sort']
38,Unable to add to JFrame after removeAll(),['javax.swing.JFrame.remove']
39,Alternative to File.deleteOnExit() in Java NIO?,"['java.nio.file.Files.createTempFile', 'java.nio.file.Files.newOutputStream', 'java.nio.file.StandardOpenOption.DELETE', 'java.io.File.deleteOnExit', 'java.lang.Runtime.addShutdownHook', 'java.lang.Runtime.getRuntime']"
40,Crawling & parsing results of querying google-like search engine,['java.lang.Integer.parseInt']
41,Can't I put a null in a SortedSet?,['java.util.TreeSet.add']
42,"What compile-time type must I assign to receieve a return value of java.util.Map<TextAttribute, ?>",['java.awt.Font.getAttributes']
43,How can I not use argument to pass values between methods of different classes,['java.lang.System.setProperty']
44,How to insert clickable text into a JTextPane?,"['javax.swing.text.html.HTMLEditorKit.insertHTML', 'javax.swing.text.Document.insertString']"
45,Transfering uintN data types from C to Java (Socket Programing),['org.omg.CORBA.portable.InputStream.read']
46,java ms access connection,['java.sql.ResultSet.next']
47,is it always safe to use the first element of the array returned by split?,['java.lang.String.split']
48,get and write line with some number,"['javax.swing.JTextArea.getLineCount', 'javax.swing.JTextArea.getLineStartOffset', 'javax.swing.JTextArea.replaceRange', 'javax.swing.JTextArea.getLineEndOffset']"
49,Java AES-128 encryption of 1 block (16 byte) returns 2 blocks(32 byte) as output,['javax.crypto.Cipher.getInstance']
50,Does the stream.spliterator() close the stream?,"['java.util.stream.Stream.of', 'java.util.stream.BaseStream.close', 'java.nio.file.Files.lines', 'java.util.stream.BaseStream.spliterator', 'java.util.stream.package-summary.StreamOps']"
51,iterate through all the values of a key in hashtable java,['java.util.Map.containsKey']
52,How to quickly find added / removed files?,['java.io.File.listFiles']
53,How to read fie in different encoding functions?,['java.nio.charset.Charset.availableCharsets']
54,LinkedList as value for Hashtable,['java.util.Arrays.asList']
55,How many people can connect to ServerSocket?,['java.net.ServerSocket.accept']
56,How to set up output files based on key names?,['java.io.FileWriter.FileWriter']
57,ObjectInputStream throws EOFException on client-server setup,['java.lang.System.exit']
58,RequestMapping with slashes and dot,['java.lang.String.split']
59,"What would you use a ""Future"" for in App Engine?",['java.util.concurrent.Future.get']
60,How to create a static Map of String -> Array,['java.util.Collections.unmodifiableMap']
61,Can you inject a custom exception (or its provider)?,['java.lang.Exception.Exception']
62,BufferedReader will not read final line of input,['java.io.BufferedReader.readLine']
63,How to Convert Int to Unsigned Byte and Back,"['java.lang.Byte.toUnsignedInt', 'java.lang.Integer.parseInt', 'java.lang.Integer.toString']"
64,How to get Java to wait for user Input,['java.util.Scanner.nextLine']
65,Java exception from scanning a file that was imported,['java.util.Scanner.next']
